date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:27:36	40657/40657	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/screens/sales.jpg	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/img/freeze/screens/sales.jpg	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:27:37	24047/24047	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/slick.min.js	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/slick.min.js	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:27:37	35452/35452	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/bootstrap.min.js	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/bootstrap.min.js	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:27:37	2263/2263	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/placeholdem.min.js	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/placeholdem.min.js	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:27:40	95786/95786	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/jquery-1.11.1.min.js	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/jquery-1.11.1.min.js	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:27:41	8044/8044	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/waypoints.min.js	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/waypoints.min.js	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:27:42	5240/5240	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/scripts.js	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/scripts.js	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:27:42	93561/93561	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2024%20Aug%202015%2010:46:56%20GMT	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/js/jquery.themepunch.revolution.min.js	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/js/rs-plugin/js/jquery.themepunch.revolution.min.js	(from http://www.scoopthemes.com/templates/Oleose/Freeze/)
15:27:42	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22583f5441-247c%22	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/fonts/glyphicons-halflings-regular.eot	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/fonts/glyphicons-halflings-regular.eot	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/css/bootstrap.min.css)
15:27:42	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22583c90dd-247c%22	http://www.scoopthemes.com/templates/Oleose/Freeze/assets/fonts/glyphicons-halflings-regular.eot?	C:/Users/Wellington/Desktop/bankbox1/BankBox/www.scoopthemes.com/templates/Oleose/Freeze/assets/fonts/glyphicons-halflings-regulard41d.eot	(from http://www.scoopthemes.com/templates/Oleose/Freeze/assets/css/bootstrap.min.css)
